peptideId	arabi-defline
NO01G00260	NIMA-related kinase 5
NO01G00270	S-adenosylmethionine carrier 2
NO01G00290	DNA polymerase alpha 2
NO01G00310	Protein kinase superfamily protein
NO01G00340	chloride channel D
NO01G00350	DNAJ heat shock family protein
NO01G00360	ribosomal protein L5
NO01G00390	MATE efflux family protein
NO01G00400	type one serine/threonine protein phosphatase 4
NO01G00420	peptidemethionine sulfoxide reductase 3
NO01G00430	Transketolase family protein
NO01G00440	Transducin family protein / WD-40 repeat family protein
NO01G00450	Class I glutamine amidotransferase-like superfamily protein
NO01G00460	Biotin/lipoate A/B protein ligase family
NO01G00480	farnesyltransferase A
NO01G00500	NAD(P)-binding Rossmann-fold superfamily protein
NO01G00520	carotenoid cleavage dioxygenase 1
NO01G00540	ATP-dependent Clp protease
NO01G00600	lysophosphatidyl acyltransferase 5
NO01G00650	DHHC-type zinc finger family protein
NO01G00670	with no lysine (K) kinase 3
NO01G00720	Nucleotide-diphospho-sugar transferases superfamily protein
NO01G00730	SUMO-activating enzyme 1B
NO01G00740	Trm112p-like protein
NO01G00750	20S proteasome alpha subunit C1
NO01G00760	squalene epoxidase 3
NO01G00810	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: transport; LOCATED IN: nuclear pore; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Nuclear pore protein 84/107 (InterPro:IPR007252); Has 271 Blast hits to 268 proteins in 107 species: Archae - 0; Bacteria - 0; Metazoa - 138; Fungi - 69; Plants - 52; Viruses - 0; Other Eukaryotes - 12 (source: NCBI BLink).
NO01G00820	DEA(D/H)-box RNA helicase family protein
NO01G00870	Ribosomal protein L13 family protein
NO01G00880	unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF947 (InterPro:IPR009292); Has 700 Blast hits to 631 proteins in 192 species: Archae - 0; Bacteria - 32; Metazoa - 138; Fungi - 168; Plants - 60; Viruses - 0; Other Eukaryotes - 302 (source: NCBI BLink).
NO01G00900	ferredoxin thioredoxin reductase catalytic beta chain family protein
NO01G00940	ubiquitin carrier protein 7
NO01G00950	ARF GAP-like zinc finger-containing protein ZIGA4
NO01G00960	ribosome biogenesis regulatory protein (RRS1) family protein
NO01G00980	INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Mannose-6-phosphate receptor, binding (InterPro:IPR009011), Glucosidase II beta subunit-like (InterPro:IPR012913); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).
NO01G01000	diacylglycerol acyltransferase family
NO01G01020	GTP-binding family protein
